GL- FAMLINE-CATEGORY details


MANDT	 RACCT	 GL_LONG_TEXT	 FAMLINE	 CATEGORY
X	 X	 	 	
Client	 Account Number	 G/L Account Long text	 FAMLINE	 Category
MANDT-CLNT(3)	 SAKNR-CHAR(10)	 ZGL_LONG_TEXT-CHAR(125)	 ZFAMLINE-CHAR(4)	 ZCATEGORY-CHAR(12)
100	 0001320001	 LONG TERM RECEIVABLES FROM GROUP COMPANIES	 1251	 LOAN
100	 0001321001	 INTEREST-FREE LOAN RECEIVABLES I/C	 1252	 LOAN IFREE
100	 0001328901	 ACCUM WRITE-DOWN OF LT REC GROUP COMP	 1251	 LOAN
100	 0001761001	 PROVISION INTEREST RECEIVABLE LOAN IC	 1821	 CASH POOL
100	 0001801001	 SHORT-TERM INVESTMENTS IN GROUP COMPANIES	 1251	 LOAN
100	 0001801002	 SHORT-TERM INVESTMENTS IN GROUP COMPANIES	 1251	 LOAN
100	 0001801012	 SHORT-TERM INVESTMENTS IN GROUP COMPANIES-EUR	 1251	 LOAN
100	 0001960001	 CASHPOOL ACCOUNT 1	 1821	 CASH POOL
100	 0001960002	 CASH POOL ACCOUNT 2	 1821	 CASH POOL
100	 0001960003	 CASH POOL ACCOUNT 3	 1821	 CASH POOL
100	 0001960004	 CASH POOL ACCOUNT 4	 1821	 CASH POOL
100	 0001960005	 CASH POOL ACCOUNT 5 EUR	 1821	 CASH POOL
100	 0001960006	 CASH POOL ACCOUNT 6 EUR	 1821	 CASH POOL
100	 0001960007	 CASH POOL ACCOUNT 7 EUR	 1821	 CASH POOL
100	 0001960008	 CASH POOL ACCOUNT 8 EUR	 1821	 CASH POOL
100	 0001960009	 CASH POOL ACCOUNT 9	 1821	 CASH POOL
100	 0001960010	 CASH POOL ACCOUNT 10 EUR	 1821	 CASH POOL
100	 0001960011	 CASH POOL ACCOUNT 11	 1821	 CASH POOL
100	 0001960012	 CASH POOL ACCOUNT 12	 1821	 CASH POOL
100	 0001960013	 CASH POOL ACCOUNT 13 EUR	 1821	 CASH POOL
100	 0001960015	 CASH POOL ACCOUNT 15	 1821	 CASH POOL
100	 0001960025	 CASH POOL ACCOUNT	 1821	 CASH POOL
100	 0001960031	 CASH POOL ACCOUNT	 1821	 CASH POOL
100	 0001960036	 CASH POOL ACCOUNT	 1821	 CASH POOL
100	 0001960038	 CASH POOL ACCOUNT	 1821	 CASH POOL
100	 0001960101	 CLEARING ACCOUNT CASHPOOL INCOMING PAY	 1821	 CASH POOL
