Transaction measurement


MANDT	 TRANSCODE	 PROGRNAME	 DATUM	 TIME	 RANDOM	 USERNAME
X	 X	 X	 X	 X	 X	
Client	 Current Transaction Code	 Calling Program	 Substitute 'from date'	 Last Logon Time	 Random from 1 to 1000000	 User Name in User Master Record
MANDT-CLNT(3)	 TCODE-CHAR(20)	 PROGRAMM-CHAR(40)	 DATUM-DATS(8)	 UZEIT-TIMS(6)	 YRANDOM-NUMC(10)	 XUBNAME-CHAR(12)
100	 SE38	 YAM_BACKLOG	 20140119	 081227	 0000851743	 EXTPBD
100	 SE38	 YAM_BACKLOG	 20140121	 073731	 0000526629	 EXTPBD
100	 SE38	 YAM_BACKLOG	 20140121	 080856	 0000556166	 EXTPBD
100	 SE38	 YAM_BACKLOG	 20140121	 080939	 0000556840	 EXTPBD
100	 SE38	 YSE_CONTRACT_LIFE	 20150828	 100318	 0000320920	 EXTSDA
100	 SE38	 YSE_OPCO2	 20140227	 091903	 0000715098	 EXTPBD
100	 SE38	 YSE_OPCO2	 20140227	 091916	 0000715302	 EXTPBD
100	 SE38	 YSE_OPCO2	 20140314	 113948	 0000155405	 EXTPBD
100	 SE38	 YSE_OPCO2	 20140314	 115944	 0000174146	 EXTPBD
100	 SE38	 YSE_OPCO2	 20140410	 175914	 0000066501	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140429	 115710	 0000449529	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140429	 115833	 0000450829	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140429	 120122	 0000453478	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140429	 121123	 0000462895	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140502	 151224	 0000694680	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140502	 151743	 0000699678	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140502	 171916	 0000813958	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140502	 172142	 0000816246	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140507	 100857	 0000178706	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140512	 142716	 0000190897	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140530	 080340	 0000199814	 EXTSPA
100	 SE38	 YSE_OPCO2	 20140602	 124640	 0000527482	 EXTSPA
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 052657	 0000560026	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 053152	 0000564649	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 053249	 0000565542	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 061328	 0000603760	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 061517	 0000605468	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 061620	 0000606455	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 070856	 0000655909	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 081816	 0000721095	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 085751	 0000758311	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 085917	 0000759659	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 090108	 0000761398	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 090225	 0000762605	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 090306	 0000763247	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 090734	 0000767447	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 090758	 0000767823	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 093511	 0000793411	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160811	 094003	 0000797987	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160816	 043251	 0000278487	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160816	 061819	 0000377646	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160816	 111748	 0000659215	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160817	 050830	 0000665870	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160817	 061826	 0000731621	 SSCEXTCWU
100	 SE38	 ZCWU_TEST_UTILITY	 20160817	 082615	 0000851792	 SSCEXTCWU
100	 YSE_CONTRACT_LIFE	 YSE_CONTRACT_LIFE	 20140704	 113937	 0000788127	 EXTMKY
100	 YSE_CONTRACT_LIFE	 YSE_CONTRACT_LIFE	 20170929	 030632	 0000928167	 EXTIBMDCA
100	 YSE_CONTRACT_LIFE	 YSE_CONTRACT_LIFE	 20170929	 030808	 0000929672	 EXTIBMDCA
100	 YSE_CONTRACT_LIFE	 YSE_CONTRACT_LIFE	 20170929	 030818	 0000929828	 EXTIBMDCA
100	 YSE_CONTRACT_LIFE	 YSE_CONTRACT_LIFE	 20170929	 030922	 0000930831	 EXTIBMDCA
100	 YSE_OPCO	 YSE_OPCO2	 20140205	 060459	 0000747607	 EXTPBD
100	 YSE_OPCO	 YSE_OPCO2	 20140205	 060856	 0000751321	 EXTPBD
