Generated Table for View ZSTC_ORDSHTO


MANDT	 KUNNR	 NAME1	 ORT01	 PSTLZ	 STRAS	 SORT1
X	 X	 X	 X	 X	 X	 X
Client	 Customer Number	 Name 1	 City	 Postal Code	 House number and street	 Search Term 1
MANDT-CLNT(3)	 KUNNR-CHAR(10)	 NAME-CHAR(35)	 TEXT35-CHAR(35)	 PSTLZ-CHAR(10)	 TEXT35-CHAR(35)	 CHAR20-CHAR(20)
100	 0101000018	 	 	 	 	
100	 0101000019	 	 	 	 	
100	 0101000022	 	 	 	 	
100	 0101000023	 	 CN	 200000	 	 SERVICE TRAINNING
100	 0101000002	 DO NOT USE	 	 	 	
100	 0101000000	 DO NOT USE	 	 	 	
100	 0101000001	 DO NOT USE	 	 	 	
100	 0101000003	 Test Company	 Mechelen	 1234	 10	 TEST
100	 0101000008	 DO NOT USE	 	 	 	
100	 0100000000	 DFDS	 	 2500	 FDSF	 FDS
100	 0101000009	 dummy 1	 	 	 	
100	 0101000010	 dummy 1	 	 	 	
100	 0101000011	 DO NOT USE	 	 	 	
100	 0101000012	 dummy 1	 	 	 	
100	 0000000001	 dummy 1	 	 	 	
100	 0101000013	 DO NOT USE	 	 	 	
100	 0100000020	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI DONGMENG HIGHW
100	 0101000024	 SERVICE TRAINNING name2	 CN	 200000	 houseno street	 SERVICE TRAINNING
100	 0101000025	 SERVICE TRAINNING	 CN	 200000	 houseno street	 SERVICE TRAINNING
100	 0101000027	 SERVICE TRAINNING	 CN	 388844	 houseno street	 SORT1
100	 0101000028	 SERVICE TRAINNING	 CN	 388844	 houseno street	 SORT1
100	 0101000029	 SERVICE TRAINNING	 CN	 388844	 houseno street	 SORT1
100	 0101000030	 SERVICE TRAINNING	 CN	 388844	 houseno street	 SORT1
100	 0101000031	 SERVICE TRAINNING	 CN	 388844	 houseno street	 SORT1
100	 0101000032	 SERVICE TRAINNING	 CN	 388844	 houseno street	 SORT1
100	 0101000033	 fullname	 CN	 388844	 houseno street	 SORT1
100	 0101000034	 fullname	 CN	 388844	 houseno street	 SORT1
100	 0101000035	 fullname	 CN	 388844	 houseno street	 SORT1
100	 0101000036	 fullname	 CN	 388844	 houseno street	 SORT1
100	 0101000037	 fullname	 CN	 388844	 houseno street	 SORT1
100	 0101000038	 fullname	 CN	 388844	 houseno street	 SORT1
100	 0101000040	 DO NO USE	 CN	 388844	 	
100	 0101000041	 DO NOT USE	 CN	 388844	 	
100	 0101000042	 DO  NOT USE	 	 	 	
100	 0101000043	 DO NOT USE	 	 	 	
100	 0101000044	 DO NOT USE	 	 	 	
100	 0101000045	 DO NOT USE	 	 	 	
100	 0101000046	 DO NOT USE	 	 	 	
100	 0101000047	 DO NOT USE	 	 	 	
100	 0101000048	 DO NOT USE	 	 	 	
100	 0101000049	 DO NOT USE	 	 	 	
100	 0101000050	 DO NOT USE	 	 	 	
100	 0101000051	 DO NOT USE	 	 	 	
100	 0101000052	 DO NOT USE	 	 	 	
100	 0101000053	 name	 village	 555555	 45 street	 SEARCH1
100	 0101000083	 上海江森自控国际蓄电池有限公司	 SH020	 200000	 上海康桥开发区康桥路700-800号	 SHC619842
100	 0101000093	 AC CR JIADING	 	 200000	 嘉定 上海	  AC CR JIADING
100	 0101556307	 AC CR JIADING	 	 200000	 嘉定 上海	  AC CR JIADING
100	 0103000010	 TEWST	 9-SHANGHAI	 812346	 DSF 13444	 4-SEARCH TERM
