Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT
X	 X	
Client	 Profit Center	 Segment for Segmental Reporting
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)
100	 	
100	 0000000011	 URE
100	 0000000013	 URE
100	 0000000014	 URE
100	 0000000015	 0000002310
100	 0000000017	 0000002110
100	 0000000018	 0000002110
100	 0000000019	 0000002110
100	 0000000020	 UMR
100	 0000000022	 UMR
100	 0000000023	 MRS
100	 0000000024	 CTH
100	 0000000025	 0000002410
100	 0000000026	 0000002110
100	 0000000027	 CTH
100	 0000000029	 CRS
100	 0000000031	 0000002410
100	 0000000032	 URE
100	 0000000033	 UMR
100	 0000000034	 0000002410
100	 0000000035	 0000002310
100	 0000000036	 0000002310
100	 0000000037	 0000002310
100	 0000000038	 0000002310
100	 0000000040	 APE
100	 0000000041	 APE
100	 0000000042	 APE
100	 0000000043	 CRS
100	 0000000044	 0000001110
100	 0000000046	 0000001110
100	 0000000047	 0000001110
100	 0000000050	 GAS
100	 0000000051	 0000001210
100	 0000000052	 0000001610
100	 0000000053	 GAE
100	 0000000056	 GAE
100	 0000000057	 0000001210
100	 0000000058	 0000001210
100	 0000000060	 0000003100
100	 0000000061	 0000003100
100	 0000000062	 0000003100
100	 0000000063	 0000003100
100	 0000000064	 0000003100
100	 0000000065	 0000003100
100	 0000000066	 0000003100
100	 0000000067	 0000003100
100	 0000000068	 0000003100
100	 0000000069	 0000003100
100	 0000000070	 0000002110
100	 0000000071	 0000002110
100	 0000000072	 URE
100	 0000000073	 0000002310
100	 0000000074	 0000002310
100	 0000000076	 0000002110
100	 0000000077	 0000002110
100	 0000000079	 0000003100
100	 0000000086	 0000002410
100	 0000000088	 0000002410
100	 0000000101	 SED
100	 0000000102	 SED
100	 0000000103	 SED
100	 0000000104	 SED
100	 0000000105	 SED
100	 0000000106	 SED
100	 0000000107	 SED
100	 0000000108	 SED
100	 0000000109	 SED
100	 0000000110	 SED
100	 0000000111	 SED
100	 0000000112	 SED
100	 0000000113	 SED
100	 0000000114	 SED
100	 0000000115	 SED
100	 0000000116	 SED
100	 0000000117	 SED
100	 0000000118	 SED
100	 0000000119	 SED
100	 0000000120	 SED
100	 0000000121	 SED
100	 0000000122	 SED
100	 0000000123	 SED
100	 0000000124	 SED
100	 0000000125	 SED
100	 0000000126	 SED
100	 0000000127	 SED
100	 0000000128	 SED
100	 0000000129	 SED
100	 0000000130	 SED
100	 0000000131	 SED
100	 0000000132	 SED
100	 0000000133	 SED
100	 0000000134	 SED
100	 0000000201	 URE
100	 0000000202	 MRS
100	 0000000203	 UMR
100	 0000000213	 URE
100	 0000000215	 0000002110
100	 0000000216	 URE
100	 0000000217	 0000002110
100	 0000000218	 0000002110
100	 0000000219	 0000002110
100	 0000000220	 0000002610
100	 0000000221	 URE
100	 0000000222	 URE
100	 0000000223	 URE
100	 0000000224	 URE
100	 0000000225	 URE
100	 0000000226	 URE
100	 0000000227	 URE
100	 0000000228	 URE
100	 0000000229	 URE
100	 0000000230	 URE
100	 0000000231	 URE
100	 0000000232	 0000002610
100	 0000000233	 URE
100	 0000000234	 URE
100	 0000000235	 URE
100	 0000000236	 URE
100	 0000000237	 URE
100	 0000000238	 URE
100	 0000000239	 URE
100	 0000000240	 CTH
100	 0000000241	 CTH
100	 0000000242	 CTH
100	 0000000243	 CTH
100	 0000000244	 CTH
100	 0000000245	 CTH
100	 0000000246	 CTH
100	 0000000247	 CTH
100	 0000000248	 CTH
100	 0000000249	 CTH
100	 0000000250	 0000002410
100	 0000000255	 0000002410
100	 0000000256	 0000002410
100	 0000000257	 0000002410
100	 0000000260	 MRS
100	 0000000261	 MRS
100	 0000000262	 MRS
100	 0000000263	 MRS
100	 0000000264	 MRS
100	 0000000265	 MRS
100	 0000000266	 MRS
100	 0000000269	 0000002110
100	 0000000271	 CRS
100	 0000000272	 CRS
100	 0000000274	 CRS
100	 0000000275	 CTH
100	 0000000280	 0000002310
100	 0000000281	 0000002310
100	 0000000286	 0000002310
100	 0000000290	 CRS
100	 0000000291	 CRS
100	 0000000292	 CRS
100	 0000000293	 CHS
100	 0000000294	 CRS
100	 0000000296	 CRS
